순번,구분,기관명,주소,전화번호,전년도 기관 평가등급,전년도 취업률,월 급여 241만원 이상 일자리 취업률,6개월 이상 취업자 고용유지율
220,국취-위탁,(주)일로이룸 구미취업지원센터,경상북도 구미시 송원서로 35(송정동) 고려빌딩 3층 ,054-442-8770,,,,
221,국취-위탁,(주)지에스씨넷 구미지점,경상북도 구미시 송원서로2길 15(원평동) 2층 ,054-456-1474,,,,
222,국취-위탁,(주)지에스씨넷 김천지점,경상북도 김천시 충효길 95(성내동) 3층 ,054-433-1949,,,,
223,국취-위탁,구미여성인력개발센터,경상북도 구미시 송원서로8길 53(원평동) - ,054-456-9494,,,,
224,국취-위탁,스탭스㈜구미센터,경상북도 구미시 옥계북로 5(옥계동) 3층 ,054-453-0804,,,,
225,국취-위탁,인지어스(유)구미지사,경상북도 구미시 인동가산로 14(진평동) 401호 ,054-605-7067,,,,
226,고용센터,김천고용센터,경상북도 김천시 신양2길 46(신음동)  ,054-429-8900,,,,
227,고용센터,영주고용센터,경상북도 영주시 번영로  ,054-639-1122,,,,
228,국취-위탁,(주)지에스씨넷 문경지점,경상북도 문경시 당교로 250(모전동) 2층 ,054-554-1949,,,,
229,국취-위탁,(주)지에스씨넷 상주지점,경상북도 상주시 중앙로 193(서성동) 5층 ,054-531-1949,,,,
230,국취-위탁,(주)지에스씨넷 영주지점,경상북도 영주시 대학로 35(휴천동) 6층 ,054-632-1949,,,,
231,고용센터,문경고용센터,"경상북도 문경시 매봉1길 문경시산림조합 3,4층 ",054-559-8200,,,,
232,고용센터,상주고용센터,경상북도 상주시 왕산로  ,054-559-8280,,,,
233,고용센터,안동고용센터,경상북도 안동시 경동로 400 ,054-851-8061,,,,
234,국취-위탁,(주)일로이룸취업지원센터,경상북도 안동시 송하2길 49-16(송현동) 501호 ,054-859-8841,,,,
235,국취-위탁,(주)지에스씨넷안동지점,경상북도 안동시 광명로 264(태화동) 5층 ,054-843-1949,,,,
236,고용센터,의성고용센터,경상북도 의성군 의성읍 문소3길 102-1 4층(진주빌딩) ,054-851-8151,,,,
237,고용센터,예천고용센터,경상북도 예천군 예천읍 봉덕로 26 동창한우마을 빌딩 2층 ,054-851-8180,,,,
238,고용센터,인천고용센터,인천광역시 남동구 문화로 131(구월동)  ,032-460-4701,,,,
239,국취-위탁,(유)인지어스 인천지사,인천광역시 남동구 문화로 147(구월동) 501호 ,032-233-2659,,,,
240,국취-위탁,(주)맥시머스 인천지점,"인천광역시 남동구 구월로 243(구월동) 제3층 제303,304호 ",032-501-8217,,,,
241,국취-위탁,(주)잡모아 인천남부지점,인천광역시 미추홀구 주안로 86(주안동) 1002호 ,032-813-9001,,,,
242,국취-위탁,(주)지에스씨넷 인천지점,인천광역시 미추홀구 경인로 119(숭의동) 11층 ,032-888-1949,,,,
243,국취-위탁,(주)채움에이치알디 인천지사,인천광역시 남동구 문화로 135(구월동) 201호 ,032-715-7313,,,,
244,국취-위탁,(주)휴먼잡트러스트 본사,인천광역시 연수구 새말로96번길 26(연수동) 4층 ,032-822-1825,,,,
245,국취-위탁,사단법인 한국고용서비스진흥원 인천점,인천광역시 미추홀구 주안로 113(주안동) 3층 ,032-426-5888,,,,
246,국취-위탁,제이엠커리어 인천지사,인천광역시 남동구 인주대로 596(구월동) 7층 ,02-703-9900,,,,
247,국취-위탁,주식회사 미래서비스,인천광역시 연수구 벚꽃로 106(청학동) 504호 ,032-216-0060,,,,
248,국취-위탁,주식회사 이노스잡,인천광역시 남동구 청능대로 583(논현동) 9층 901 ,032-421-5202,,,,
249,고용센터,인천북부고용센터,인천광역시 계양구 장제로 804(계산동) 영산빌딩 2층~5층 ,032-540-5641,,,,
250,국취-위탁,(주)지에스씨넷 인천북부지점,인천광역시 부평구 경원대로 1414(부평동) 5층 ,032-517-1949,,,,
251,국취-위탁,(주)채움에이치알디 부평지사,인천광역시 부평구 갈월서로 4(갈산동) 3층 ,032-262-0750,,,,
252,국취-위탁,(주)휴먼잡트러스트 계양지점,인천광역시 계양구 계산새로65번길 15(계산동) 3층 ,032-543-5725,,,,
253,국취-위탁,(주)휴먼잡트러스트 인천서구지점,인천광역시 서구 서곶로 281(심곡동) 2층 ,032-569-5141,,,,
254,국취-위탁,국제커리어센터 인천부평,인천광역시 부평구 경원대로1377번길 15(부평동) 3층 ,032-501-6114,,,,
255,국취-위탁,사회적협동조합 일터와사람들 서부지사,인천광역시 서구 서곶로301번길 7(심곡동) 6층 ,032-715-7840,,,,
256,국취-위탁,스탭스(주) 인천북부센터,인천광역시 부평구 부흥로 265(부평동) 403호 ,032-524-3115,,,,
257,국취-위탁,인지어스(유) 인천북부,인천광역시 계양구 경명대로 1058(계산동) 201호 ,032-277-0273,,,,
258,국취-위탁,주식회사맥시머스 부평지점,인천광역시 부평구 부평대로 152(부평동) 208호 ,032-501-8219,,,,
259,국취-위탁,(주)명은커리어 인천서부지사,인천광역시 서구 원당대로 626(당하동) 4층 ,032-935-5380,,,,
260,국취-위탁,(주)채움에이치알디 인천서부지사,인천광역시 서구 염곡로 472(가정동) 703호 ,032-719-4083,,,,
261,국취-위탁,(주)잡모아 인천서부지점,인천광역시 서구 탁옥로 55(심곡동) 303호 ,032-563-2226,,,,
262,고용센터,인천서부고용센터,인천광역시 서구 이음1로 389(원당동) 에이플러스빌딩 4~8층 ,032-540-2001,,,,
263,고용센터,강화고용센터,인천광역시 강화군 강화읍 강화대로 준프라자 5층 ,032-540-7990,,,,
264,고용센터,수원고용센터,경기도 수원시 팔달구 경수대로 584(인계동) 2~4층 ,031-231-7864,,,,
265,국취-위탁,㈜조인스잡 수원지사,"경기도 수원시 영통구 봉영로 1612(영통동) 6층 610호 (영통동, 보보스프라자) ",031-546-2737,,,,
266,국취-위탁,㈜잡연세인재개발원,경기도 수원시 장안구 정조로 940-1(영화동) 2층 ,031-242-1319,,,,
267,국취-위탁,사단법인 한국고용협회 수원지사,경기도 수원시 팔달구 매산로2가 권선로 467(매산로2가) 2층 ,031-895-4763,,,,
268,국취-위탁,국제커리어센터 경기화성지점,경기도 화성시 경기대로 1025-5(병점동) 604호 ,031-224-7114,,,,
269,국취-위탁,(주)코리아잡스원 수원,경기도 수원시 영통구 반달로 26(영통동) 5층 ,031-202-8550,,,,
270,국취-위탁,㈜명은커리어 경기지사,경기도 수원시 팔달구 매산로1가 덕영대로 905(매산로1가) 603호 ,070-5066-5736,,,,
271,국취-위탁,사단법인 이엘티에스연구원 화성지사,"경기도 화성시 봉담읍 동화새터길 98 스타타워2, 802호 ",031-292-8084,,,,
272,국취-위탁,㈜잡모아 수원지점,경기도 수원시 장안구 서부로 2183(율전동) 3층 ,031-269-6400,,,,
273,국취-위탁,㈜제니엘 수원지점,경기도 수원시 영통구 매영로345번길 111(영통동) 2동 ,031-204-2208,,,,
274,국취-위탁,㈜채움에이치알디 수원지사,경기도 수원시 영통구 반달로7번길 6(영통동) 504호 ,031-546-3551,,,,
275,국취-위탁,사회적협동조합 내일로 화성센터,"경기도 화성시 봉담읍 동화길 85 이원타워 501, 508호 ",031-297-8219,,,,
276,고용센터,용인고용센터,경기도 용인시 기흥구 강남로 2~4층 ,031-289-2210,,,,
277,국취-위탁,(사)한국고용복지센터 수지구점,경기도 용인시 수지구 풍덕천로129번길 9(풍덕천동) 3층 ,031-265-3700,,,,
278,국취-위탁,(주)제이엠커리어 용인지사,경기도 용인시 수지구 문정로7번길 16(풍덕천동) 3층 ,031-546-3451,,,,
279,국취-위탁,(주)코리아잡스원 용인,경기도 용인시 기흥구 중부대로 579(구갈동) 304호 ,031-286-0392,,,,
280,국취-위탁,㈜맥시머스 용인지점,경기도 용인시 기흥구 강남로 13(구갈동) 2층 1호 ,031-282-8219,,,,
281,국취-위탁,(주)제니엘 용인지점,경기도 용인시 기흥구 강남동로 6(구갈동) 901호 ,031-306-8363,,,,
282,고용센터,화성고용센터,경기도 화성시 봉담읍 동화길 이원타워 7층 화성고용센터 ,031-290-0800,,,,
283,고용센터,김포고용센터,"경기도 김포시 김포한강4로 125, 월드타워빌딩 3~5층, 9층 (장기동) ",031-999-0900,,,,
284,국취-위탁,(주)명은커리어 김포센터,경기도 김포시 김포대로 835(사우동) 501호 ,031-926-3190,,,,
285,국취-위탁,(주)와이즈임플로이먼트코리아,경기도 김포시 김포대로 841(사우동) 201호 ,070-5153-0306,,,,
286,국취-위탁,(주)와이즈임플로이먼트코리아 장기사무소,경기도 김포시 김포한강4로 113(장기동) 904호 ,070-5153-0304,,,,
287,고용센터,부천고용센터,경기도 부천시 원미구 길주로 351(중동) - ,032-320-8900,,,,
288,국취-위탁,(주)와이즈임플로이먼트 부천지사,경기도 부천시 원미구 상동로 81(상동) 502호 ,032-325-3301,,,,
289,국취-위탁,(주)잡모아 부천지점,경기도 부천시 원미구 길주로 275(중동) 304호 ,032-327-8668,,,,
290,국취-위탁,스탭스(주) 부천센터,경기도 부천시 원미구 길주로 276(중동) 1001호 ,032-329-7956,,,,
291,국취-위탁,케이잡스 부천지사,경기도 부천시 소사구 경인로 520(괴안동) 5층 ,070-4271-6365,,,,
292,국취-위탁,부천노동복지회관,경기도 부천시 원미구 석천로170번길 19(중동) 부광프라자 407호 ,070-8666-1801,,,,
293,국취-위탁,부천시노동자종합복지관,경기도 부천시 원미구 계남로 336(중동) - ,032-655-1949,,,,
294,고용센터,광명고용센터,"경기도 광명시 시청로 15(철산동, 힐팰리스) 광명고용복지플러스센터 1~2층 ",02-2680-1500,,,,
295,고용센터,의왕고용센터,경기도 의왕시 안양판교로 89(포일동) 2층 ,031-463-7460,,,,
296,고용센터,안양고용센터,경기도 안양시 만안구 안양로 메쎄포스빌타워 3~4층 ,031-463-0700,,,,
297,국취-위탁,(주)잡모아 광명지점,경기도 광명시 오리로 902(철산동) 7층 702호 ,02-2686-1112,,,,
298,국취-위탁,(주)잡모아 안양지점,경기도 안양시 만안구 안양로 307(안양동) 1002호 ,031-464-8880,,,,
299,국취-위탁,(주)커리어넷 안양지사,경기도 안양시 만안구 안양로 339(안양동) 401~402호 ,031-471-8831,,,,
300,국취-위탁,(주)코리아잡스원 군포지점,경기도 군포시 군포로 733(금정동) 7층 701호 ,031-397-7800,,,,
301,국취-위탁,(주)코리아잡스원 의왕지점,경기도 의왕시 갈미2로 36(내손동) 303호 ,031-425-9998,,,,
302,국취-위탁,(주)휴먼잡트러스트 광명지점,"경기도 광명시 오리로 902(철산동) 505,506호 ",02-2689-7720,,,,
303,국취-위탁,국제커리어센터 경기안양,경기도 안양시 만안구 안양로 336(안양동) 401호 ,031-441-7114,,,,
304,국취-위탁,사회적협동조합 내일로 안양,경기도 안양시 만안구 안양로 303(안양동) 810호 ,031-466-8219,,,,
305,고용센터,군포고용센터,경기도 군포시 군포로 522(당동)  ,031-463-7610,,,,
306,고용센터,시흥고용센터,경기도 시흥시 마유로418번길 18(정왕동) 정왕프라자 3층 ,031-496-1900,,,,
307,고용센터,안산고용센터,경기도 안산시 단원구 원고잔로  ,031-412-6600,,,,
308,국취-위탁,(주)굿잡 안산지사,경기도 안산시 단원구 중앙대로 829(고잔동) 201호 ,031-365-5763,,,,
309,국취-위탁,(주)맥시머스 시흥지점,"경기도 시흥시 수인로3312번길 16(대야동, 시흥 센트럴 푸르지오) 티동 6층 805,806호 ",031-315-8219,,,,
310,국취-위탁,(주)명은커리어 안산지사,경기도 안산시 상록구 상록수로 54(본오동) 501호 ,031-8042-7501,,,,
311,국취-위탁,(주)제이오비,경기도 시흥시 마유로418번길 10(정왕동) 201호 ,031-319-9297,,,,
312,국취-위탁,국제커리어센터 안산지점,경기도 안산시 상록구 광덕1로 324(사동) 3층 ,031-416-9114,,,,
313,국취-위탁,사회적협동조합내일로 안산센터,경기도 안산시 단원구 화랑로 402(고잔동) 303호 ,031-439-8223,,,,
314,국취-위탁,시흥여성인력개발센터,"경기도 시흥시 비둘기공원7길 51(대야동) 6,7층 ",031-312-2121,,,,
315,국취-위탁,(사)한국고용복지센터 경기시흥점,경기도 시흥시 마유로 416(정왕동) 405호 ,031-433-4880,,,,
316,고용센터,의정부고용센터,경기도 의정부시 시민로 1~2층 ,031-828-0900,,,,
317,국취-위탁,(사)한국고용복지센터 동두천점,경기도 동두천시 지행로 65(지행동) 601호 ,031-867-1500,,,,
318,국취-위탁,(사)한국고용복지센터 의정부동점,경기도 의정부시 둔야로 31(의정부동) 4층 ,031-872-1700,,,,
319,국취-위탁,(주)명은커리어 북부지사,경기도 양주시 고읍남로 6-10(광사동) 302~3호 ,031-928-5890,,,,
320,국취-위탁,(주)잡모아 의정부지점,경기도 의정부시 시민로 80(의정부동) 417호 ,031-872-5558,,,,
321,국취-위탁,(주)제이엠커리어 의정부지사,경기도 의정부시 시민로 80(의정부동) 1007호 ,031-928-5675,,,,
322,국취-위탁,국제커리어센터 경기의정부,경기도 의정부시 체육로 298-21(녹양동) 501~502호 ,031-873-9114,,,,
323,국취-위탁,(주)명은커리어 포천지사,경기도 포천시 소흘읍 봉솔로5길 27 5층 502호 ,031-894-5377,,,,
324,고용센터,구리고용센터,경기도 구리시 건원대로 태영빌딩 2층 ,031-560-5800,,,,
325,고용센터,동두천고용센터,경기도 동두천시 삼육사로 984(생연동) 서경코아 3층 ,031-860-1700,,,,
326,고용센터,남양주고용센터,경기도 남양주시 경춘로 금마루프라자 2~4층 ,031-560-1919,,,,
327,국취-위탁,(사)한국고용복지센터 구리점,경기도 구리시 건원대로 36(인창동) 702호 ,031-568-3200,,,,
328,국취-위탁,(사)한국고용복지센터 남양주점,경기도 남양주시 사릉로 14(금곡동) 금곡프라자 406~7호 ,031-595-6300,,,,
329,국취-위탁,경기동부상공회의소,"경기도 남양주시 홍유릉로248번길 39(금곡동) 207호 405호, 407호, 415호 ",031-592-3052,,,,
330,국취-위탁,국제커리어센터 경기남양주,경기도 남양주시 호평로68번길 26(호평동) 401호 ,031-593-9114,,,,
331,고용센터,양주고용센터,"경기도 양주시 부흥로 1533, 고용노동부 양주고용복지플러스센터 ",031-849-2300,,,,
332,고용센터,포천고용센터,경기도 포천시 중앙로 1층 ,031-850-7690,,,,
333,고용센터,이천고용센터,경기도 이천시 이섭대천로 1309 ,031-644-3820,,,,
334,고용센터,성남고용센터,경기도 성남시 분당구 성남대로 146(구미동)  ,031-739-3177,,,,
335,국취-위탁,(주)굿잡 경기광주지사,경기도 광주시 광주대로 9(역동) 선화빌딩 5층 ,031-8027-2507,,,,
336,국취-위탁,(주)굿잡 성남지사,경기도 성남시 수정구 산성대로 373(단대동) MG제일빌딩 405~6호 ,031-698-3347,,,,
337,국취-위탁,(주)제니엘 성남지점,경기도 성남시 분당구 성남대로 165(금곡동) 천사의도시 오피스텔 301-2호 ,031-604-1750,,,,
338,국취-위탁,(주)지에스씨넷 경기광주지점,경기도 광주시 파발로59번길 30(경안동) 3층 ,031-765-1949,,,,
339,국취-위탁,(주)지오코칭 성남지사,경기도 성남시 분당구 야탑로81번길 10(야탑동) 507호 ,031-622-0557,,,,
340,국취-위탁,국제커리어센터 경기성남,경기도 성남시 분당구 미금일로90번길 32(구미동) 221호 ,031-713-1114,,,,
341,국취-위탁,사단법인 한국고용서비스진흥원 성남점,경기도 성남시 분당구 성남대로926번길 12(야탑동) 금탑프라자 601호 ,031-707-8820,,,,
342,국취-위탁,사단법인 한국고용서비스진흥원 이천점,경기도 이천시 애련정로87번길 52(창전동) 401~2호 ,031-636-1880,,,,
343,국취-위탁,사단법인 한국고용서비스진흥원 하남점,경기도 하남시 미사강변대로34번길 90(풍산동) 4층 410호 ,031-796-5009,,,,
344,국취-위탁,스탭스(주) 성남센터,경기도 성남시 수정구 성남대로 1170(수진동) 402호 ,031-759-0991,,,,
345,국취-위탁,인지어스(유) 성남센터,경기도 성남시 수정구 산성대로 95(수진동) 써미트빌딩 7층 ,031-603-4955,,,,
346,국취-위탁,(주)잡모아 성남지점,경기도 성남시 중원구 광명로 5(성남동) 503호 ,031-464-8886,,,,
347,고용센터,하남고용센터,경기도 하남시 미사강변대로 52(풍산동)  ,031-730-7000,,,,
348,고용센터,경기광주고용센터,경기도 광주시 광주대로  ,031-799-2760,,,,
349,고용센터,양평고용센터,경기도 양평군 양평읍 중앙로111번길 11  ,031-740-6780,,,,
350,고용센터,여주고용센터,경기도 여주시 여흥로109번길 15(창동) 5층 ,031-740-6790,,,,
351,고용센터,평택고용센터,경기도 평택시 경기대로 1194(이충동) 장당프라자 1~2층 ,031-646-1205,,,,
352,국취-위탁,(주)리부트코리아안성센터,경기도 안성시 중앙로 324-4(석정동) 다원빌딩 2층 ,031-676-1929,,,,
353,국취-위탁,(주)리부트코리아평택센터,경기도 평택시 원평로 40-7(평택동) 4층 ,031-652-1925,,,,
354,국취-위탁,(주)제니엘 평택지점,경기도 평택시 중앙2로 13(평택동) 301호 ,031-647-3213,,,,
355,국취-위탁,(주)조인스잡 오산센터,경기도 오산시 운암로 17(원동) 501호 ,031-8055-8887,,,,
356,국취-위탁,(주)조인스잡 평택센터,"경기도 평택시 경기대로 1371(서정동) 603, 604호 ",031-663-0084,,,,
357,고용센터,안성고용센터,경기도 안성시 안성맞춤대로 984(도기동) 2층 ,031-686-1705,,,,
358,고용센터,오산고용센터,경기도 오산시 경기동로 오산고용센터 ,031-8024-9805,,,,
359,고용센터,고양고용센터,경기도 고양시 일산동구 고봉로 32-16(장항동) 로데오 빌딩 ,031-920-3937,,,,
360,국취-위탁,(주)맥시머스 고양지점,경기도 고양시 일산동구 정발산로 43-20(장항동) 505호 ,031-906-1220,,,,
361,국취-위탁,(주)채움HRD 고양지사,경기도 고양시 일산서구 강성로 121(주엽동) 403호 ,031-994-5548,,,,
362,국취-위탁,(주)커리어넷고양지사,경기도 고양시 일산동구 장백로 172(장항동) 405호 ,031-906-8720,,,,
363,국취-위탁,(주조인스잡 고양센터,경기도 고양시 덕양구 무원로6번길 50(행신동) 603호 ,031-926-3577,,,,
364,국취-위탁,고양여성인력개발센터,"경기도 고양시 일산서구 강성로 247(대화동) 8, 9층 ",031-912-8555,,,,
365,국취-위탁,국제커리어 고양센터,경기도 고양시 일산동구 중앙로1275번길 38-15(장항동) 402호 ,031-932-1114,,,,
366,국취-위탁,사회적협동조합내일로고양센터,경기도 고양시 덕양구 화정로 65-1(화정동) 406호 ,031-963-8219,,,,
367,국취-위탁,스탭스(주)고양센터,경기도 고양시 일산서구 중앙로 1560(대화동) 304호 ,031-925-9515,,,,
368,국취-위탁,주식회사 명은커리어 파주센터,"경기도 파주시 중앙로 328(금촌동) 3층 302호, 302A호 ",031-935-5790,,,,
369,국취-위탁,(주)명은커리어,"경기도 고양시 일산동구 정발산로 43-20(장항동) 905,906호 ",031-818-7500,,,,
370,국취-위탁,(주)명은커리어 화정센터,경기도 고양시 덕양구 화중로 54(화정동) - ,031-926-3760,,,,
371,국취-위탁,(주)지에스씨넷 고양지점,경기도 고양시 덕양구 충장로 20(행신동) 3층 303호 ,031-972-1949,,,,
372,국취-위탁,(주)지에스씨넷 파주지점,경기도 파주시 경의로 1074(야당동) 9층 905호 ,031-947-1949,,,,
373,고용센터,파주고용센터,경기도 파주시 중앙로 328(금촌동) MH타워 8층 ,031-860-0401,,,,
374,고용센터,춘천고용센터,강원특별자치도 춘천시 퇴계농공로 9(석사동) 넥서스프라자 2~5층 ,033-250-1900,,,,
375,국취-위탁,사회적협동조합 희망리본,강원특별자치도 춘천시 효자로 7-1(퇴계동) 2층 ,033-256-8819,,,,
376,국취-위탁,주식회사드림캐쳐,강원특별자치도 춘천시 서부대성로 201(효자동) 3층 ,033-252-9019,,,,
377,고용센터,가평고용센터,경기도 가평군 가평읍 가화로 169 1층 ,031-580-0901,,,,
378,고용센터,홍천고용센터,강원특별자치도 홍천군 홍천읍 홍천로 356 로하스빌딩 7층 ,033-439-1902,,,,
379,고용센터,삼척고용센터,강원특별자치도 삼척시 중앙로 214(남양동) 4층~5층 ,033-570-1900,,,,
380,고용센터,태백고용센터,강원특별자치도 태백시 황지로 119(황지동) 2층 태백고용복지+센터 ,033-552-8605,,,,
381,고용센터,강릉고용센터,강원특별자치도 강릉시 강릉대로 176(교동) - ,033-610-1919,,,,
382,국취-위탁,(주)맥시머스 강릉지점,강원특별자치도 강릉시 경강로 2241(포남동) 4층 ,033-647-8219,,,,
383,국취-위탁,사회적협동조합희망리본 강릉센터,강원특별자치도 강릉시 교동광장로100번길 17-3(교동) 4층 ,033-643-8820,,,,
384,고용센터,속초고용센터,강원특별자치도 속초시 동해대로 4178(조양동) 엠클리닉빌딩 3층 ,033-630-1919,,,,
385,고용센터,동해고용센터,강원특별자치도 동해시 동해대로 4921(나안동) KT북평빌딩 1층 ,033-539-1901,,,,
386,고용센터,원주고용센터,강원특별자치도 원주시 서원대로 383(개운동) 2~3층 ,033-769-0900,,,,
387,국취-위탁,(주)맥시머스원주지점,강원특별자치도 원주시 평원로 33(중앙동) 중앙메디컬센터 703호 ,033-813-3361,,,,
388,국취-위탁,(주)제이엠커리어원주지사,강원특별자치도 원주시 능라동길 51(무실동) 314~315호 ,033-813-9710,,,,
389,국취-위탁,사회적협동조합희망리본원주센터,강원특별자치도 원주시 봉화로 16(단계동) 5층 ,033-765-1155,,,,
390,고용센터,영월고용센터,강원특별자치도 영월군 영월읍 단종로 8  ,033-371-6260,,,,
391,고용센터,광주고용센터,광주광역시 북구 금남로  ,062-609-8500,,,,
392,국취-위탁,(사)지역고용정책연구원,광주광역시 남구 금당로1번길 4(진월동) 2층 ,062-654-2070,,,,
393,국취-위탁,(사)지역고용정책연구원 보건대사무소,광주광역시 광산구 장신로 280-16(신창동) 2층 ,062-951-2070,,,,
394,국취-위탁,(주)맥시머스 광주지점,광주광역시 서구 상무대로 773(치평동) 세정아울렛 3층 301호~303-2호 ,062-383-8219,,,,
395,국취-위탁,(주)베스트인 광주지사,광주광역시 동구 예술길 31-15(대의동) 6층 ,062-714-3766,,,,
396,국취-위탁,(주)제이엠커리어 광주지사,광주광역시 광산구 첨단중앙로 152(쌍암동) 5층 ,062-974-4570,,,,
397,국취-위탁,(주)지에스씨넷 광주광산지점,광주광역시 광산구 임방울대로 342(수완동) 602호 ,062-955-1949,,,,
398,국취-위탁,국제커리어센터,광주광역시 남구 봉선로 1(봉선동) 지하1층 B107-1호 ,062-654-7718,,,,
399,국취-위탁,국제커리어센터(조선대),광주광역시 동구 필문대로273번길 3(동명동) 3층 ,062-226-2114,,,,
400,국취-위탁,내일엔광주,광주광역시 서구 대남대로 465(농성동) 605호 ,062-710-2841,,,,
401,국취-위탁,스탭스(주)광주광산구센터,광주광역시 광산구 하남대로 150(월곡동) 304호 ,062-959-6055,,,,
402,국취-위탁,스탭스(주)서영사무소,광주광역시 북구 동운로213번길 31(운암동) 2층 ,062-527-8881,,,,
403,국취-위탁,인지어스(유)광주지사,광주광역시 북구 금남로 80(유동) 7층 ,062-454-8030,,,,
404,국취-위탁,주)커리어코칭연구소,광주광역시 북구 서방로 89(우산동) 빌리오네 BD 3층 ,062-653-3395,,,,
405,국취-위탁,북구국제커리어센터,"광주광역시 북구 서방로9번길 27(중흥동) 2층, 3층 ",062-268-8885,,,,
406,고용센터,광주광산고용센터,광주광역시 광산구 하남대로  ,062-960-3200,,,,
407,고용센터,나주고용센터,전라남도 나주시 이창1길 39 나주시 일자리종합지원센터 1층 ,061-280-0183,,,,
408,고용센터,영광고용센터,전라남도 영광군 영광읍 물무로2길 61  ,061-280-0158,,,,
409,고용센터,화순고용센터,전라남도 화순군 화순읍 충의로  ,061-280-0155,,,,
410,고용센터,정읍고용센터,전북특별자치도 정읍시 수성택지3길 28(수성동) - ,063-530-7500,,,,
411,고용센터,전주고용센터,전북특별자치도 전주시 덕진구 태진로 114(진북동) - ,063-270-9100,,,,
412,국취-위탁,(사)한국커리어,전북특별자치도 전주시 덕진구 기린대로 380(금암동) 4층 ,063-905-1830,,,,
413,국취-위탁,(주)맥시머스 전주지점,전북특별자치도 전주시 완산구 효자동2가 우전로 202(효자동2가) 3층 ,063-236-8219,,,,
414,국취-위탁,(주)베스트인,전북특별자치도 전주시 완산구 효자동2가 홍산북로 29-5(효자동2가) 3층 ,063-714-3765,,,,
415,국취-위탁,(주)베스트인전북지사,전북특별자치도 전주시 덕진구 백제대로 563-3(금암동) 2동1층 ,063-714-3588,,,,
416,국취-위탁,(주)제이비커리어,전북특별자치도 전주시 완산구 효자동1가 용머리로 146(효자동1가) 3층 ,063-273-8219,,,,
417,국취-위탁,(주)지에스씨넷전주지점,전북특별자치도 전주시 완산구 효자동1가 용머리로 80(효자동1가) 201호 ,063-227-1949,,,,
418,국취-위탁,(주)휴먼제이앤씨,전북특별자치도 전주시 덕진구 팔달로 354(진북동) - ,063-246-7589,,,,
419,국취-위탁,스탭스(주)전주센터,전북특별자치도 전주시 덕진구 기린대로 409(금암동) 9층 ,063-277-3115,,,,
420,국취-위탁,인지어스(유)정읍지사,전북특별자치도 정읍시 남북로 56(수성동) 202호 ,063-927-4520,,,,
421,국취-위탁,전주여성인력개발센터,"전북특별자치도 전주시 완산구 평화동1가 장승배기로 213(평화동1가) BYC 3,4층 ",063-232-2348,,,,
422,국취-위탁,국제커리어 전주지점,전북특별자치도 전주시 덕진구 덕진동1가 기린대로 499(덕진동1가) 1동 403호 ,063-276-3114,,,,
423,고용센터,남원고용센터,전북특별자치도 남원시 향단로 39(하정동) 1층 ,063-630-3900,,,,
424,고용센터,김제고용센터,전북특별자치도 김제시 화동길 105(요촌동) - ,063-540-8400,,,,
425,고용센터,익산고용센터,전북특별자치도 익산시 익산대로52길 11(남중동) - ,063-840-6500,,,,
426,국취-위탁,(주)베스트인익산지사,전북특별자치도 익산시 모현동2가 배산로 193-24(모현동2가) 2층 ,063-714-3767,,,,
427,국취-위탁,(주)제이비커리어원광보건대학교센터,전북특별자치도 익산시 익산대로 514(신용동) 원광보건대학교 학생성공관 1층 ,063-840-1068,,,,
428,국취-위탁,(주)제이비커리어익산센터,전북특별자치도 익산시 고봉로32길 22(영등동) 4층 ,063-851-8219,,,,
429,국취-위탁,인지어스(유)익산지사,전북특별자치도 익산시 무왕로 1089(영등동) 연희빌딩 5층 ,063-855-0510,,,,
430,고용센터,군산고용센터,전북특별자치도 군산시 조촌로 62(조촌동) - ,063-450-0600,,,,
431,국취-위탁,(주)제이비커리어군산센터,전북특별자치도 군산시 조촌로 38(조촌동) 2층 ,063-451-8219,,,,
432,국취-위탁,(주)제이비커리어나운사무소,전북특별자치도 군산시 하나운로 76(나운동) 3층 ,063-910-1953,,,,
433,국취-위탁,(주)휴먼제이앤씨군산대사무소,전북특별자치도 군산시 대학로 549(미룡동) 201호 ,063-466-7341,,,,
434,국취-위탁,(주)휴먼제이앤씨군산지사,전북특별자치도 군산시 하나운로 27(나운동) 2층 ,063-451-7521,,,,
435,국취-위탁,군산국제커리센터,전북특별자치도 군산시 월명로 270(수송동) 4층 ,063-464-9672,,,,
436,국취-위탁,군산여성인력개발센터,전북특별자치도 군산시 백토로 119(나운동) 2층 ,063-468-0057,,,,
437,고용센터,부안고용센터,전북특별자치도 부안군 부안읍 번영로 145 2층 ,063-580-0501,,,,
438,고용센터,고창고용센터,전북특별자치도 고창군 고창읍 중앙로 330 - ,063-580-0540,,,,
439,고용센터,목포고용센터,전라남도 목포시 평화로  ,061-280-0500,,,,
440,국취-위탁,내일엔목포,전라남도 목포시 백년대로 383(옥암동) 3층 ,061-284-2844,,,,
441,국취-위탁,목포국제커리어센터,전라남도 목포시 백년대로375번길 1(옥암동) 4층 ,061-281-7114,,,,
442,국취-위탁,유한회사 중앙잡커리어,전라남도 목포시 백년대로 285(상동) 세한대학교교육원 501호 ,061-800-6671,,,,
443,국취-위탁,주식회사 서남취업센터,전라남도 목포시 비파로 21(상동) 2층 ,061-279-2720,,,,
